CODE,DOMES_Number,Site_Name,Plate,Technique,Longitude_deg,Latitude_deg,Ve_mm_yr,Vn_mm_yr,Se_mm_yr,Sn_mm_yr,Re_mm_yr,Rn_mm_yr
CHTI,50242M001,Chatham island n,Pacific,DP,183.383,-43.735,-40.98,32.74,0.043,0.048,0.265,0.277
TBTG,92401M002,Tubuai,Pacific,P,210.524,-23.342,-64.16,34.12,0.119,0.104,-0.773,0.111
NAUR,50701M001,Nauru,Pacific,P,166.926,-0.552,-67.08,28.75,0.111,0.093,-0.219,0.090
TUVA,51101M001,Funafuti,Pacific,P,179.197,-8.525,-65.13,32.37,0.121,0.097,-0.788,0.303
MKTG,92509M001,Makemo tide gaug,Pacific,P,216.431,-16.627,-67.40,33.46,0.388,0.308,-1.017,0.087
MAJU,51501M001,Majuro,Pacific,P,171.365,7.119,-69.02,30.39,0.124,0.102,-0.405,0.278
7298,40424S007,Kauai,Pacific,DPR,200.335,22.127,-62.36,34.68,0.054,0.050,-0.125,-0.117
7617,40477S001,Mauna kea,Pacific,PR,204.544,19.801,-62.72,34.62,0.166,0.160,-0.407,-0.157
7124,92201M007,Papeete (tahiti),Pacific,P,210.394,-17.577,-65.92,34.23,0.156,0.149,-0.719,0.130
RIMB,92301S004,Rikitea (ile man),Pacific,DP,225.035,-23.130,-67.38,31.29,0.660,0.438,-0.828,-0.326
ASC1,30602M001,Ascension iii,S. America,DP,345.588,-7.951,-4.94,11.05,0.072,0.059,0.219,-0.188
BRAZ,41606M001,Brasilia,S. America,P,312.122,-15.947,-4.01,12.49,0.052,0.047,-0.130,-0.061
POAL,41616M001,Porto alegre,S. America,P,308.880,-30.074,-2.40,12.16,0.090,0.093,0.442,-0.218
SALV,41618M001,Salvador,S. America,P,321.488,-13.009,-3.92,12.00,0.191,0.163,0.513,-0.596
CUIB,41603M001,Cuiba,S. America,P,303.930,-15.555,-2.97,11.93,0.069,0.060,0.476,-0.328
MPLA,41521M001,Mar del plata,S. America,P,302.469,-38.036,-0.51,12.25,0.624,0.672,0.961,0.242
LKTH,80601S001,Port stanley - l,S. America,P,302.149,-51.698,0.40,12.45,0.438,0.541,0.501,0.616
VBCA,41512M001,Bahia blanca,S. America,P,297.731,-38.701,-0.38,11.01,0.167,0.183,0.457,-0.680
NEIA,41620M002,Cananeia,S. America,P,312.075,-25.020,-3.42,12.46,0.167,0.165,0.031,-0.043
NAUS,41614M002,Manaus,S. America,P,299.945,-3.023,-4.01,11.83,0.105,0.091,0.163,-0.257
MAPA,41629M001,Macapa,S. America,P,308.903,0.047,-4.37,12.46,0.155,0.138,-0.021,-0.049
BELE,41622M001,Belem,S. America,P,311.537,-1.409,-4.52,12.76,0.099,0.085,-0.201,0.191
RECF,41617M001,Recif,S. America,P,325.048,-8.051,-4.60,12.45,0.153,0.125,-0.060,-0.078
BOMJ,41612M001,Bom jesus da lap,S. America,P,316.578,-13.256,-5.15,11.90,0.087,0.080,-0.955,-0.710
BOAV,41636M001,Boa vista,S. America,P,299.299,2.845,-4.47,11.90,0.072,0.059,0.072,-0.156
RIOB,41645M001,Rio branco,S. America,P,292.197,-9.965,-2.91,11.17,0.154,0.121,0.536,-0.300
SAVO,41643M001,Salvador incra,S. America,P,321.568,-12.939,-4.57,12.54,0.043,0.037,-0.138,-0.053
SAGA,41639M001,Sao gabriel,S. America,P,292.942,-0.144,-4.34,11.32,0.122,0.110,0.028,-0.262
MSCG,41649M001,Campo grande,S. America,P,305.459,-20.441,-2.51,12.95,0.072,0.066,0.696,0.643
PEPE,41650M001,Petrolina,S. America,P,319.494,-9.384,-4.69,12.71,0.112,0.102,-0.321,0.091
TOPL,41648M001,Palmas,S. America,P,311.669,-10.171,-4.47,12.39,0.144,0.126,-0.396,-0.169
POVE,41628M001,Porto velho,S. America,P,296.104,-8.709,-3.59,11.83,0.080,0.065,0.083,0.033
MGMC,41624M002,Montes claros,S. America,P,316.142,-16.716,-4.00,13.03,0.064,0.058,0.077,0.427
GOJA,41654M001,Jatai,S. America,P,308.274,-17.883,-3.30,12.52,0.137,0.123,0.255,0.083
SALU,41640M001,Sao luis,S. America,P,315.788,-2.593,-4.18,12.81,0.109,0.097,0.150,0.186
MGBH,41667M001,Belo horizonte,S. America,P,316.075,-19.942,-4.44,12.25,0.147,0.141,-0.460,-0.337
CAYN,97302M002,Cayenne,S. America,P,307.690,4.949,-4.73,13.00,0.521,0.403,-0.224,0.534
MTCO,41670M001,Colider,S. America,P,304.544,-10.804,-3.85,12.46,0.073,0.062,-0.071,0.153
IQUI,42204M001,Iquitos,S. America,P,286.731,-3.767,-3.65,10.58,0.161,0.124,0.348,-0.386
CEFE,41637M001,Vitoria,S. America,P,319.681,-20.311,-4.28,12.44,0.098,0.089,-0.048,-0.149
BABR,41684M001,Barreiras,S. America,P,315.005,-12.150,-3.97,12.43,0.098,0.087,0.172,-0.173
MGUB,41652M001,University of ub,S. America,P,311.744,-18.919,-3.78,12.33,0.073,0.066,-0.056,-0.198
PPTE,41611M002,Presidente prude,S. America,P,308.591,-22.120,-3.02,12.27,0.122,0.112,0.309,-0.150
UFPR,41610M002,Curitiba - paran,S. America,P,310.769,-25.448,-3.52,12.55,0.050,0.048,-0.213,0.079
MGIN,41647M001,Inconfidentes,S. America,P,313.672,-22.319,-3.92,12.79,0.062,0.058,-0.212,0.245
ROCD,41679M001,Colorado d oeste,S. America,P,299.456,-13.122,-3.60,12.02,0.210,0.175,-0.177,0.003
PAIT,41685M001,Itaituba,S. America,P,303.964,-4.288,-4.26,12.98,0.372,0.300,-0.121,0.680
KOUG,97301M402,Kourou,S. America,DP,307.360,5.098,-4.63,12.59,0.048,0.040,-0.120,0.136
CRAT,41619M001,Crato,S. America,P,320.584,-7.238,-4.75,12.32,0.170,0.129,-0.348,-0.289
IMPZ,41615M001,Imperatriz,S. America,P,312.503,-5.492,-4.21,12.73,0.087,0.074,0.027,0.143
ONRJ,41635M001,Predio da hora,S. America,P,316.776,-22.896,-4.13,12.35,0.083,0.077,-0.199,-0.228
IMBT,41638M001,Imbituba,S. America,P,311.344,-28.235,-3.64,12.09,0.248,0.233,-0.434,-0.376
AMTE,48091M001,Tefe,S. America,P,295.293,-3.346,-3.91,11.83,0.298,0.239,0.200,0.067
IRYL,97309M001,Ile royale,S. America,P,307.413,5.285,-4.66,12.60,0.231,0.185,-0.143,0.142
FALK,80602M001,Stanley,S. America,P,302.126,-51.694,0.15,12.63,0.058,0.074,0.248,0.795
RNNA,41668M001,Natal - inpe,S. America,P,324.792,-5.836,-4.66,12.40,0.150,0.130,-0.165,-0.130
CEFT,41682M001,Docas do ceara,S. America,P,321.527,-3.711,-5.16,12.42,0.637,0.505,-0.758,-0.178
MTSR,41689M001,Sorriso,S. America,P,304.273,-12.545,-4.45,12.89,0.216,0.181,-0.787,0.598
CHAC,41553M001,Chaco,S. America,P,301.040,-27.420,-2.33,11.48,0.143,0.139,-0.033,-0.537
SMAR,41621M001,Santa maria,S. America,P,306.283,-29.719,-2.50,12.05,0.144,0.147,0.102,-0.222
YEMA,41569M001,Laguna yema,S. America,P,298.763,-24.281,-2.81,11.10,0.205,0.191,-0.408,-0.792
UYMO,42301M001,Montevideo,S. America,P,303.740,-34.888,-2.81,11.74,0.302,0.304,-0.902,-0.365
MTV2,42323S001,Montevideo - pal,S. America,P,303.824,-34.914,-2.66,11.61,0.155,0.173,-0.744,-0.501
SPTU,48085M001,Tupa sao p,S. America,P,309.508,-21.929,-2.64,12.83,0.227,0.199,0.766,0.380
UYTA,42302M001,Tacuarembo,S. America,P,304.062,-31.683,-2.64,11.66,0.302,0.339,-0.416,-0.489
AGGO,41596M001,La plata - argen,S. America,PR,301.860,-34.874,-2.61,11.55,0.203,0.210,-0.914,-0.447
7297,41602S001,Forteleza,S. America,PR,321.574,-3.878,-4.35,12.39,0.062,0.064,0.052,-0.205
7407,48081S001,Campus universit,S. America,L,312.135,-15.773,-4.21,11.69,1.246,1.103,-0.329,-0.861
CACB,41609S001,Cachoeira paulis,S. America,DP,314.998,-22.683,-3.70,12.59,0.478,0.431,0.101,0.022
SEY1,39801M001,Mahe island,Somalia,P,55.479,-4.674,24.80,11.49,0.053,0.046,-0.132,0.176
ABPO,33302M001,Ambohimpanompo,Somalia,P,47.229,-19.018,18.80,14.36,0.071,0.063,-0.606,0.233
MTVE,30906M001,Mtwara,Somalia,P,40.166,-10.260,22.72,15.52,0.319,0.254,-0.727,-0.672
MAL2,33201M003,Malindi,Somalia,P,40.194,-2.996,26.27,15.93,0.051,0.043,0.402,-0.200
MAYG,90101M001,Dzaoudzi,Somalia,P,45.258,-12.782,21.59,14.55,0.183,0.149,-0.601,-0.151
REUB,97401S002,La reunion,Somalia,DP,55.572,-21.208,18.27,11.73,0.210,0.173,0.552,0.355
